fare_id,price,currency_type,payment_method,transfers,agency_id
104,3.00,EUR,0,0,317
105,3.35,EUR,0,0,317
106,2.90,EUR,0,0,317
107,2.10,EUR,0,0,317
108,1.80,EUR,0,0,317
109,3.60,EUR,0,0,317
110,0.30,EUR,0,0,317
111,3.30,EUR,0,0,317
112,3.20,EUR,0,0,317
113,3.40,EUR,0,0,317
114,3.50,EUR,0,0,317
115,1.90,EUR,0,0,60
116,3.70,EUR,0,0,295
117,4.60,EUR,0,0,295
118,5.50,EUR,0,0,50
119,4.00,EUR,0,0,50
120,6.00,EUR,0,0,50
121,2.50,EUR,0,0,50
122,7.00,EUR,0,0,50
123,4.50,EUR,0,0,50
124,3.50,EUR,0,0,50
125,6.50,EUR,0,0,50
126,5.00,EUR,0,0,50
127,3.00,EUR,0,0,50
128,2.00,EUR,0,0,50
129,7.50,EUR,0,0,50
130,2.80,EUR,0,0,50
131,3.70,EUR,0,0,50
132,1.50,EUR,0,0,100047
133,4.40,EUR,0,0,317
134,3.70,EUR,0,0,317
135,5.10,EUR,0,0,317
136,4.60,EUR,0,0,317
137,4.10,EUR,0,0,60
138,3.60,EUR,0,0,60
139,7.50,EUR,0,0,60
140,1.60,EUR,0,0,60
141,4.50,EUR,0,0,60
142,5.90,EUR,0,0,60
143,3.50,EUR,0,0,60
144,5.10,EUR,0,0,60
145,2.20,EUR,0,0,60
146,6.80,EUR,0,0,60
147,6.70,EUR,0,0,60
148,3.00,EUR,0,0,60
149,4.60,EUR,0,0,60
150,2.80,EUR,0,0,60
151,4.00,EUR,0,0,60
152,3.30,EUR,0,0,60
153,2.60,EUR,0,0,60
154,4.20,EUR,0,0,60
155,3.80,EUR,0,0,60
156,2.00,EUR,0,0,60
157,3.10,EUR,0,0,60
158,1.70,EUR,0,0,60
159,4.00,EUR,0,0,317
160,5.00,EUR,0,0,317
161,4.50,EUR,0,0,317
162,4.55,EUR,0,0,317
163,4.15,EUR,0,0,317
164,3.85,EUR,0,0,317
165,4.70,EUR,0,0,317
166,4.05,EUR,0,0,317
167,3.75,EUR,0,0,317
168,4.85,EUR,0,0,317
169,3.80,EUR,0,0,317
170,4.20,EUR,0,0,317
171,4.75,EUR,0,0,317
172,4.35,EUR,0,0,317
173,4.90,EUR,0,0,317
174,3.65,EUR,0,0,317
175,4.45,EUR,0,0,317
176,4.25,EUR,0,0,317
177,4.65,EUR,0,0,317
178,4.30,EUR,0,0,317
179,3.90,EUR,0,0,317
180,4.10,EUR,0,0,317
181,3.95,EUR,0,0,317
182,5.15,EUR,0,0,317
183,4.95,EUR,0,0,317
184,4.80,EUR,0,0,317
185,5.05,EUR,0,0,317
186,4.60,EUR,0,0,50
