service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
135189,1,1,1,1,1,1,0,20190901,20270831
135303,1,1,1,1,1,1,0,20200901,20270831
135333,0,0,0,0,0,0,1,20190901,20270831
135481,0,0,0,0,0,1,0,20230901,20250122
135482,0,0,0,0,0,1,0,20230901,20250122
135483,0,0,0,0,0,1,0,20230901,20250122
135484,0,0,0,0,0,1,0,20230901,20250122
135531,1,1,1,1,1,1,0,20190901,20270831
135547,1,1,1,1,1,1,0,20200901,20270831
135568,1,1,1,1,1,0,0,20190901,20270831
135595,1,1,1,1,1,1,1,20190901,20270831
135600,1,1,1,1,1,1,1,20190901,20270831
135629,1,1,1,1,1,1,1,20221201,20270831
135631,0,0,0,0,0,1,1,20190901,20270831
135632,0,0,0,0,0,1,1,20190901,20270831
135711,0,0,0,0,0,1,0,20191001,20250122
135712,0,0,0,0,0,1,0,20191001,20250122
135713,0,0,0,0,0,1,0,20191001,20250122
135714,0,0,0,0,0,0,1,20191001,20250122
135715,0,0,0,0,0,0,1,20191001,20250122
135761,1,1,1,1,1,1,1,20190901,20270831
135768,0,0,0,0,0,0,1,20230901,20250122
135769,0,0,0,0,0,0,1,20230901,20250122
135770,0,0,0,0,0,0,1,20230901,20250122
135771,0,0,0,0,0,0,1,20230901,20250122
135877,0,0,0,0,0,0,1,20190901,20241031
136441,0,0,0,0,0,0,1,20190901,20241231
136910,1,1,1,1,1,0,0,20190902,20241231
137245,0,1,0,0,0,0,0,20231101,20240228
137246,0,1,0,0,1,0,1,20231101,20240228
137247,0,0,0,0,1,0,0,20231101,20240228
137770,1,1,1,1,1,0,0,20190916,20241231
138394,1,1,1,1,1,1,0,20191001,20290930
138406,1,1,1,1,1,0,0,20191001,20290930
138407,1,1,1,1,1,0,0,20191001,20290930
138587,1,1,1,1,1,1,0,20200901,20270831
138635,1,1,1,1,1,0,0,20191014,20290930
139117,1,1,1,1,1,0,0,20191028,20270831
139129,0,0,0,0,1,0,0,20191028,20270831
139130,1,1,1,1,0,0,0,20191028,20270831
139147,1,1,1,1,1,0,0,20191028,20270831
139262,1,1,1,1,1,0,0,20191028,20270831
139267,1,1,1,1,1,0,0,20191028,20270831
139268,1,1,1,1,1,0,0,20191028,20270831
139917,1,1,1,1,1,0,0,20220901,20270831
140282,1,1,1,1,1,0,0,20191118,20250621
140286,1,1,1,1,1,0,0,20191118,20250621
140287,1,1,1,1,1,0,0,20230901,20250621
140344,0,1,0,1,0,1,1,20191201,20240331
140348,1,0,1,0,1,0,0,20191201,20240331
141068,1,1,1,1,1,1,1,20191125,20250122
141200,1,1,1,1,1,0,0,20191216,20240331
141907,1,1,1,1,1,0,0,20200101,20270831
141909,1,1,1,1,1,0,0,20200101,20270831
142014,1,1,1,1,1,1,0,20201214,20270831
142015,0,0,0,0,0,1,0,20201214,20270831
142019,0,0,0,0,0,1,0,20201214,20270831
142063,1,1,1,1,1,1,0,20221104,20270831
142345,0,0,0,1,0,0,0,20200101,20270831
142360,1,1,1,1,1,1,0,20200101,20270831
142361,1,1,1,1,1,1,0,20200101,20270831
142362,1,1,1,1,1,1,0,20200101,20270831
142405,0,0,0,0,0,0,1,20200101,20270831
142539,1,0,1,1,0,1,0,20200101,20270831
142540,1,1,1,1,1,0,0,20200101,20270831
142795,1,1,1,1,1,0,0,20200106,20241231
142838,0,1,0,0,1,0,0,20200106,20241231
143228,1,1,1,1,1,1,0,20200120,20270831
143229,1,1,1,1,1,0,0,20201001,20250122
143230,1,1,1,1,1,1,0,20200901,20270831
143383,1,1,1,1,1,0,0,20230901,20240613
143412,0,1,0,0,1,0,0,20201001,20250122
143413,1,0,1,1,0,0,0,20201001,20250122
143421,0,0,0,0,0,1,0,20201001,20250122
143424,1,1,1,1,1,0,0,20201001,20250122
143426,1,1,1,1,1,0,0,20201001,20250122
143428,1,1,1,1,1,0,0,20201001,20250122
143468,1,1,1,1,1,1,0,20200120,20270831
143471,1,0,1,0,1,0,0,20200120,20270831
143472,0,1,0,1,0,1,0,20200120,20270831
143473,1,1,1,1,1,1,1,20200120,20270831
143477,0,0,0,0,0,0,1,20200120,20270831
143478,1,0,1,0,0,0,0,20200120,20270831
143479,0,1,0,1,1,0,0,20200120,20270831
143480,1,1,1,1,1,1,0,20200901,20270831
143482,1,1,1,1,1,1,1,20200120,20270831
143512,0,0,0,0,0,0,1,20200120,20270831
143513,1,1,1,1,1,1,0,20200120,20270831
143601,1,1,1,1,1,0,0,20230901,20240613
143674,1,1,1,1,1,0,0,20221001,20240131
143675,1,1,1,1,1,0,0,20221001,20240131
143676,1,1,1,1,1,0,0,20221001,20240131
143677,1,1,1,1,1,0,0,20221001,20240131
143678,1,1,1,1,1,0,0,20221001,20240131
143707,1,1,1,1,1,0,0,20200201,20250122
143770,1,1,1,1,1,0,0,20200201,20250122
143774,1,1,1,1,1,0,0,20230901,20240614
143795,1,1,1,1,1,0,0,20200201,20250122
143823,1,1,1,1,1,0,0,20200201,20250122
143829,1,1,1,1,1,0,0,20200201,20250122
143830,0,0,0,0,0,1,1,20200201,20250122
143855,1,1,1,1,1,0,0,20200201,20250122
143856,1,1,1,1,1,0,0,20200201,20250122
144125,1,1,1,1,1,0,0,20191203,20290930
144432,1,1,1,1,1,0,0,20200302,20270831
144433,1,1,1,1,1,0,0,20200302,20270831
144543,1,1,1,1,1,0,1,20200301,20250122
144586,1,0,1,1,1,0,1,20200316,20250122
144687,1,1,1,1,1,1,1,20200301,20250122
144688,0,1,0,0,0,0,0,20200420,20250122
144694,0,0,0,0,0,1,0,20200201,20250122
144695,0,0,0,0,0,1,1,20200302,20270831
144696,0,0,0,0,1,0,0,20230901,20240613
144714,1,1,1,1,1,0,0,20200901,20250122
144715,1,1,1,1,1,0,0,20200316,20250122
144716,0,0,0,0,0,1,1,20200301,20250122
144717,1,0,1,0,1,0,0,20200301,20250122
144718,0,1,0,1,0,0,0,20200301,20250122
144719,0,0,0,0,0,0,1,20230901,20240613
144720,0,0,0,0,0,1,0,20230901,20240613
144876,1,1,1,1,1,1,1,20230701,20280930
144953,1,1,1,1,1,1,0,20200222,20290930
144975,1,1,1,1,1,0,0,20200302,20270831
145183,0,0,0,0,0,1,0,20200302,20241231
145195,1,1,1,1,1,0,0,20200302,20241231
145198,0,0,0,0,0,1,0,20200302,20241231
146200,1,1,1,1,1,0,0,20201019,20270831
146214,0,1,0,1,0,1,0,20211201,20270831
146736,1,1,1,1,1,1,1,20200401,20300331
146746,1,1,1,1,1,1,0,20200401,20300331
146747,1,1,1,1,1,1,1,20200401,20300331
146752,1,1,1,1,1,0,0,20221201,20300331
146753,0,0,0,0,0,1,1,20221201,20300331
146754,1,1,1,1,1,1,1,20221201,20300331
146757,1,1,1,1,1,1,1,20221201,20300331
146758,1,1,1,1,1,0,0,20221201,20300331
146759,0,0,0,0,0,1,1,20221201,20300331
146765,1,1,1,1,1,0,0,20221201,20300331
146766,1,1,1,1,1,1,1,20221201,20300331
146772,1,1,1,1,1,0,0,20200401,20300331
146773,1,1,1,1,1,0,0,20200401,20300331
146774,1,1,1,1,1,0,0,20200401,20300331
146777,1,1,1,1,1,0,0,20221201,20300331
146778,0,0,0,0,0,1,1,20221201,20300331
146779,1,1,1,1,1,1,1,20221201,20300331
146792,1,1,1,1,1,0,0,20200401,20300331
146793,1,1,1,1,1,0,0,20200401,20300331
146797,1,1,1,1,1,1,1,20221201,20300331
150374,1,1,1,1,1,0,0,20200505,20300331
150421,1,1,1,1,1,0,0,20200601,20240331
150792,1,1,1,1,1,0,0,20221201,20300331
151474,1,1,1,1,1,0,0,20200518,20250122
151482,1,1,1,1,1,1,1,20190801,20240731
151706,0,0,0,0,0,1,1,20200701,20240331
152076,1,0,1,1,1,0,0,20200601,20250122
153138,0,1,0,1,0,0,0,20201001,20241231
154279,1,1,1,1,1,0,0,20200801,20240331
154281,1,1,1,1,1,1,1,20200801,20240331
155144,1,1,1,1,1,1,0,20200801,20240331
155312,1,1,1,1,1,1,0,20200801,20240331
155601,1,1,1,1,1,1,0,20200810,20240731
156765,1,1,1,1,1,1,0,20200901,20240331
156836,1,1,1,1,1,1,0,20200822,20300331
156837,1,1,1,1,1,1,1,20200822,20300331
156989,0,1,0,1,0,0,0,20200901,20240331
157005,0,1,0,1,0,1,1,20200901,20240331
157016,1,0,1,0,1,0,0,20200901,20240331
157019,1,1,1,1,1,1,1,20200901,20240331
157031,1,1,1,1,1,0,0,20200901,20240331
157033,1,1,1,1,1,1,0,20200901,20240331
157034,0,0,0,0,0,1,1,20200901,20240331
157035,1,1,1,1,1,0,0,20200901,20240331
157214,1,1,1,1,1,1,0,20200901,20300331
157215,1,1,1,1,1,0,0,20200907,20250122
157228,1,1,1,1,1,1,1,20200901,20300331
157235,0,0,0,0,1,0,0,20200901,20300331
157336,1,1,1,1,1,1,1,20200901,20300331
157337,1,0,1,0,0,1,1,20200901,20300331
157338,0,1,0,1,0,0,0,20200901,20300331
157385,1,1,1,1,1,0,0,20221114,20270831
157969,1,0,0,1,0,0,0,20201001,20250122
157971,0,0,1,0,0,0,0,20201001,20250122
157977,0,1,0,0,1,0,0,20201001,20250122
157983,1,1,1,1,1,0,0,20201001,20240331
158408,1,1,1,1,1,0,0,20201005,20250122
158409,1,1,1,1,1,1,1,20201005,20250122
158478,1,1,1,0,1,1,1,20201019,20270831
158479,0,0,0,1,0,0,0,20201019,20270831
158484,1,0,0,0,0,0,0,20230901,20240630
158485,1,1,1,1,1,1,1,20230901,20240630
158908,0,0,0,0,0,1,0,20201001,20241231
158909,0,0,0,0,0,1,0,20201001,20241231
158910,1,1,1,1,1,0,0,20201001,20241231
158911,1,1,1,1,1,0,0,20201001,20241231
158912,1,1,1,1,1,0,0,20201001,20241231
158915,1,1,1,1,1,0,0,20201012,20241231
159140,1,1,1,1,1,0,0,20201005,20250122
159141,1,1,1,1,1,0,0,20201005,20250122
159146,0,0,0,0,0,1,0,20201005,20250122
159151,0,0,0,0,0,0,1,20201005,20250122
159261,1,1,1,1,1,1,1,20201012,20240731
159284,1,1,1,1,1,0,0,20201010,20300331
159285,1,1,1,1,1,1,1,20201010,20300331
159288,1,1,1,1,1,0,0,20201010,20300331
159342,0,0,0,0,0,1,1,20201010,20300331
159343,0,0,0,0,0,1,1,20201010,20300331
159969,1,1,1,1,1,0,0,20201015,20250122
159973,0,0,0,0,0,1,0,20201015,20250122
160000,1,1,1,1,1,1,0,20201102,20270831
160019,1,1,1,1,1,1,1,20201101,20240331
160215,1,1,1,1,1,0,0,20201101,20300331
160495,1,1,1,1,1,1,1,20201101,20240331
160498,1,1,1,1,1,1,1,20201101,20240331
161040,1,1,1,0,1,0,0,20201101,20250621
161070,1,1,1,1,1,0,0,20230901,20240613
161843,1,1,1,1,1,1,1,20201201,20300331
161844,1,1,1,1,1,1,1,20201201,20300331
161852,1,1,1,1,1,1,1,20221201,20300331
161983,0,0,0,0,0,0,1,20201206,20241205
161984,0,0,0,0,1,0,1,20201206,20241205
162010,1,1,1,1,1,0,0,20201201,20250122
162437,1,1,1,1,1,0,0,20210927,20241231
162452,1,1,1,1,1,0,0,20201130,20270831
162489,1,1,1,1,1,0,0,20230901,20240612
162490,1,1,1,1,1,0,0,20230901,20240612
162757,1,1,1,1,1,0,0,20201204,20290930
162758,1,1,1,1,1,1,1,20201204,20290930
162759,1,1,1,1,1,1,1,20201204,20290930
162760,0,0,0,0,0,1,1,20201204,20290930
162775,0,0,0,0,1,0,0,20201214,20241231
162797,1,1,1,1,1,1,1,20201214,20250122
162801,1,1,1,1,1,1,0,20201214,20250122
162805,1,1,1,1,1,0,0,20201214,20250122
163433,0,0,1,0,0,0,0,20201213,20250122
163437,0,0,1,0,0,0,0,20201213,20250122
163443,0,0,1,0,0,0,0,20201213,20250122
163506,1,1,1,1,1,1,1,20201212,20300331
163509,1,1,1,1,1,1,1,20201212,20300331
163510,1,1,1,1,1,1,1,20201212,20300331
163785,1,1,1,1,1,1,1,20201216,20290930
163787,1,1,1,1,1,1,1,20201216,20290930
163928,0,0,0,0,1,0,1,20201227,20251226
163976,1,1,1,1,1,0,0,20210111,20250122
163982,1,1,1,1,1,0,0,20210111,20250122
163984,1,1,1,1,1,0,0,20210111,20250122
164004,1,1,1,1,1,0,0,20210111,20250122
164006,1,1,1,1,1,0,0,20210111,20250122
164026,0,0,1,0,1,0,0,20210111,20250122
164086,1,1,1,1,1,0,0,20210111,20250122
164088,1,1,1,1,1,0,0,20210111,20250122
164089,1,1,1,1,1,0,0,20210111,20250122
164096,1,1,1,1,1,0,0,20210111,20250122
164239,1,1,1,1,1,1,1,20210102,20250617
164240,1,1,1,1,1,1,1,20210102,20250617
164432,0,1,0,0,1,0,0,20210118,20241231
164439,1,1,1,1,1,0,0,20210118,20241231
164445,1,1,1,1,1,0,0,20210118,20241231
164447,1,1,1,1,1,1,0,20210118,20241231
164448,1,1,1,1,1,1,0,20210118,20241231
164450,0,0,0,0,0,1,0,20210118,20241231
164903,0,0,0,0,0,0,1,20210201,20250122
164904,1,0,0,1,0,0,0,20210201,20250122
164905,0,1,0,0,0,0,0,20210201,20250122
165007,1,1,1,1,1,1,0,20210201,20240331
165026,1,1,1,1,1,0,0,20210101,20250122
165036,1,1,1,1,1,0,0,20220801,20250122
165065,1,1,1,1,1,0,0,20210101,20250122
165268,0,0,0,0,0,1,1,20211210,20250122
165269,0,0,0,0,0,1,1,20211210,20250122
165270,0,0,0,0,0,1,1,20211210,20250122
165271,0,0,0,0,0,1,1,20211210,20250122
165272,0,0,0,0,0,1,1,20211210,20250122
165508,1,1,1,1,1,1,1,20210128,20290930
165511,1,1,1,1,1,1,0,20210128,20290930
165513,1,1,1,1,1,1,1,20210128,20290930
165514,1,1,1,1,1,1,1,20210128,20290930
165526,1,1,1,1,1,0,0,20211025,20290930
165540,1,1,1,1,1,1,1,20210128,20290930
165567,0,0,0,0,1,0,0,20210208,20241231
165568,0,0,0,0,1,0,0,20210208,20241231
165569,0,0,0,0,0,0,1,20210208,20241231
165570,0,0,0,0,0,1,0,20210208,20241231
165605,1,1,1,1,1,0,0,20210208,20241231
165606,1,0,0,1,0,0,0,20210208,20241231
165607,1,1,1,1,1,0,0,20210208,20241231
165914,0,0,0,0,0,1,1,20230701,20280930
165915,1,1,1,1,1,1,1,20210305,20260304
166019,0,0,1,0,0,0,0,20230701,20280930
166106,1,1,1,1,1,0,0,20170701,20250122
166144,1,0,0,0,0,0,0,20230701,20280930
166169,1,1,1,1,1,0,0,20210215,20250122
166170,1,1,1,1,1,0,0,20210215,20250122
166192,1,1,1,1,1,1,0,20230701,20280930
166273,1,1,1,1,1,0,0,20210215,20270831
166281,1,1,1,1,1,0,0,20210215,20270831
166288,1,1,1,1,1,0,0,20230701,20280930
166289,0,0,0,0,0,1,0,20230701,20240131
166295,1,1,1,1,1,0,0,20230701,20240229
166296,1,1,1,1,1,0,0,20230701,20280930
166322,1,1,1,1,1,1,1,20230701,20280930
166515,1,1,1,1,1,1,0,20210301,20250621
166516,1,1,1,1,1,0,0,20210301,20250621
166518,0,0,1,0,0,0,0,20210301,20250621
166520,1,1,1,1,1,0,0,20230901,20240612
166526,1,1,1,1,1,0,0,20230901,20240612
166556,1,1,1,1,1,0,0,20210308,20250122
166563,1,1,1,1,1,0,0,20210301,20250621
166564,1,1,1,1,1,0,0,20210301,20250621
166565,0,0,0,0,1,0,0,20210301,20250621
166566,0,0,0,0,1,0,0,20210301,20250621
166567,1,1,1,1,1,0,0,20230123,20250621
166568,1,1,1,1,1,0,0,20230901,20240612
166569,1,1,1,1,1,1,0,20210301,20250621
166570,1,1,1,1,0,1,1,20230901,20240630
166571,0,0,0,0,1,0,0,20210301,20250621
166572,1,1,1,1,1,0,0,20210301,20250621
166573,0,0,0,0,0,1,1,20210301,20250621
166574,1,1,1,1,1,1,1,20210301,20250621
166578,1,1,1,1,1,0,0,20210308,20250122
166580,1,1,1,1,1,0,0,20210308,20250122
166694,1,1,1,1,1,1,0,20230701,20280930
166695,1,1,1,1,1,0,0,20230701,20240131
166824,0,0,0,0,0,1,1,20230701,20240229
166933,1,1,1,1,1,0,0,20230701,20280930
166934,1,1,1,1,1,1,1,20230701,20280930
166937,0,0,0,0,1,0,0,20210315,20241231
167324,0,0,0,0,0,1,0,20230701,20280930
167408,1,1,1,1,1,0,0,20231025,20280930
167415,1,1,1,1,1,0,0,20230701,20280930
167459,1,1,1,1,1,0,0,20210322,20270831
167461,1,1,1,1,1,0,0,20210322,20270831
167467,1,0,1,0,1,0,0,20210322,20270831
167468,0,1,0,1,0,1,0,20210322,20270831
167536,0,1,0,1,0,1,0,20210322,20270831
167543,0,0,0,0,0,0,1,20210322,20270831
167974,1,1,1,1,1,0,0,20231025,20280930
167993,1,1,1,1,1,1,1,20231025,20280930
168009,0,1,0,0,0,1,0,20231025,20280930
168010,1,0,1,1,1,0,1,20231025,20280930
168147,1,1,1,1,1,1,1,20210315,20290930
